unit,year,country,variable,value
g,1993,BI,gdiincj992,0.487212194439351
g,1994,BI,gdiincj992,0.495070023779354
g,1995,BI,gdiincj992,0.478967053736241
g,1996,BI,gdiincj992,0.551389515149443
g,1997,BI,gdiincj992,0.573737561282854
g,1998,BI,gdiincj992,0.585374368401109
g,1999,BI,gdiincj992,0.583868616644077
g,2000,BI,gdiincj992,0.57561238040808
g,2001,BI,gdiincj992,0.562500231665879
g,2002,BI,gdiincj992,0.553837445783552
g,2003,BI,gdiincj992,0.548251894102453
g,2004,BI,gdiincj992,0.534190345715551
g,2005,BI,gdiincj992,0.526628417799168
g,2006,BI,gdiincj992,0.517805119502827
g,2007,BI,gdiincj992,0.522691292118035
g,2008,BI,gdiincj992,0.531378646938313
g,2009,BI,gdiincj992,0.530666167523329
g,2010,BI,gdiincj992,0.531424018016793
g,2011,BI,gdiincj992,0.533184601290865
g,2012,BI,gdiincj992,0.538867247063402
g,2013,BI,gdiincj992,0.552833617104779
g,2014,BI,gdiincj992,0.547681299374656
g,2015,BI,gdiincj992,0.552792526146209
g,2016,BI,gdiincj992,0.553712870987786
g,2017,BI,gdiincj992,0.552277349830236
g,2018,BI,gdiincj992,0.549083082325858
g,2019,BI,gdiincj992,0.546744659773038
g,2020,BI,gdiincj992,0.54607506493209
g,2021,BI,gdiincj992,0.546075120095672
g,2022,BI,gdiincj992,0.546075131504374
g,1981,BJ,gdiincj992,0.56169043317329
g,1982,BJ,gdiincj992,0.560623809953547
g,1983,BJ,gdiincj992,0.560854580101132
g,1984,BJ,gdiincj992,0.562580263252539
g,1985,BJ,gdiincj992,0.562916726627137
g,1986,BJ,gdiincj992,0.56037080083177
g,1987,BJ,gdiincj992,0.560826204330382
g,1988,BJ,gdiincj992,0.561796298111126
g,1989,BJ,gdiincj992,0.563718795889194
g,1990,BJ,gdiincj992,0.563977202046189
g,1991,BJ,gdiincj992,0.564108444501286
g,1992,BJ,gdiincj992,0.562122025942557
g,1993,BJ,gdiincj992,0.563714820012212
g,1994,BJ,gdiincj992,0.560592498237384
g,1995,BJ,gdiincj992,0.558675603729814
g,1996,BJ,gdiincj992,0.560545024023252
g,1997,BJ,gdiincj992,0.562904804151199
g,1998,BJ,gdiincj992,0.564566193125113
g,1999,BJ,gdiincj992,0.564837377230596
g,2000,BJ,gdiincj992,0.561725032428605
g,2001,BJ,gdiincj992,0.561063169814833
g,2002,BJ,gdiincj992,0.561583060343711
g,2003,BJ,gdiincj992,0.563225025317429
g,2004,BJ,gdiincj992,0.566956722977814
g,2005,BJ,gdiincj992,0.571479982863515
g,2006,BJ,gdiincj992,0.577149719935857
g,2007,BJ,gdiincj992,0.577962664984561
g,2008,BJ,gdiincj992,0.584496947287027
g,2009,BJ,gdiincj992,0.585412311169277
g,2010,BJ,gdiincj992,0.593922982958762
g,2011,BJ,gdiincj992,0.597178047806494
g,2012,BJ,gdiincj992,0.601815577559826
g,2013,BJ,gdiincj992,0.604880552858386
g,2014,BJ,gdiincj992,0.61054608042496
g,2015,BJ,gdiincj992,0.614033100713897
g,2016,BJ,gdiincj992,0.596641224524284
g,2017,BJ,gdiincj992,0.574213142957724
g,2018,BJ,gdiincj992,0.554482739142193
g,2019,BJ,gdiincj992,0.554204359120822
g,2020,BJ,gdiincj992,0.553620377890683
g,2021,BJ,gdiincj992,0.553620260514935
g,2022,BJ,gdiincj992,0.553620316241494
g,1981,BN,gdiincj992,0.473552803778762
g,1982,BN,gdiincj992,0.473848588250647
g,1983,BN,gdiincj992,0.474893184594293
g,1984,BN,gdiincj992,0.475895020565971
g,1985,BN,gdiincj992,0.476337697815666
g,1986,BN,gdiincj992,0.477327216229028
g,1987,BN,gdiincj992,0.480511152810379
g,1988,BN,gdiincj992,0.480041346804207
g,1989,BN,gdiincj992,0.479781234598494
g,1990,BN,gdiincj992,0.478200058571026
g,1991,BN,gdiincj992,0.477758967544087
g,1992,BN,gdiincj992,0.477077689957277
g,1993,BN,gdiincj992,0.477708379160653
g,1994,BN,gdiincj992,0.476693860653327
g,1995,BN,gdiincj992,0.47725085690492
g,1996,BN,gdiincj992,0.478317483712381
g,1997,BN,gdiincj992,0.477629685811973
g,1998,BN,gdiincj992,0.477441542715596
g,1999,BN,gdiincj992,0.477128188726141
g,2000,BN,gdiincj992,0.475779753431116
g,2001,BN,gdiincj992,0.474015284139821
g,2002,BN,gdiincj992,0.475237050936929
g,2003,BN,gdiincj992,0.473289633039094
g,2004,BN,gdiincj992,0.473571900647421
g,2005,BN,gdiincj992,0.473303747158969
g,2006,BN,gdiincj992,0.467955315892695
g,2007,BN,gdiincj992,0.464193262938604
g,2008,BN,gdiincj992,0.45970698915842
g,2009,BN,gdiincj992,0.460092490583214
g,2010,BN,gdiincj992,0.457976788297522
g,2011,BN,gdiincj992,0.453771782554288
g,2012,BN,gdiincj992,0.453173881700408
g,2013,BN,gdiincj992,0.456866802238153
g,2014,BN,gdiincj992,0.463381701225249
g,2015,BN,gdiincj992,0.464766667854235
g,2016,BN,gdiincj992,0.468734300231418
g,2017,BN,gdiincj992,0.469082489439867
g,2018,BN,gdiincj992,0.466382836588036
g,2019,BN,gdiincj992,0.467683092098294
g,2020,BN,gdiincj992,0.466828212448132
g,2021,BN,gdiincj992,0.474435769285815
g,2022,BN,gdiincj992,0.474435729413567
g,1981,BO,gdiincj992,0.653939558038878
g,1982,BO,gdiincj992,0.665756006858131
g,1983,BO,gdiincj992,0.669711892684977
g,1984,BO,gdiincj992,0.665742181296562
g,1985,BO,gdiincj992,0.668890250958922
g,1986,BO,gdiincj992,0.666292308267865
g,1987,BO,gdiincj992,0.661443074688122
g,1988,BO,gdiincj992,0.661378416888031
g,1989,BO,gdiincj992,0.658675638906592
g,1990,BO,gdiincj992,0.662200584309899
g,1991,BO,gdiincj992,0.663529365830366
g,1992,BO,gdiincj992,0.663564522908207
g,1993,BO,gdiincj992,0.662870883870866
g,1994,BO,gdiincj992,0.662152849718359
g,1995,BO,gdiincj992,0.663202027506362
g,1996,BO,gdiincj992,0.658871209694748
g,1997,BO,gdiincj992,0.650097052670882
g,1998,BO,gdiincj992,0.647186265773503
g,1999,BO,gdiincj992,0.644574891580137
g,2000,BO,gdiincj992,0.644858238906182
g,2001,BO,gdiincj992,0.652159648706335
g,2002,BO,gdiincj992,0.652306095236139
g,2003,BO,gdiincj992,0.651804070656085
g,2004,BO,gdiincj992,0.647023772676317
g,2005,BO,gdiincj992,0.643157365975489
g,2006,BO,gdiincj992,0.639778489192997
g,2007,BO,gdiincj992,0.647829911096032
g,2008,BO,gdiincj992,0.64053362561305
g,2009,BO,gdiincj992,0.628484076578077
g,2010,BO,gdiincj992,0.627293391415621
g,2011,BO,gdiincj992,0.622963087960022
g,2012,BO,gdiincj992,0.614018619467216
g,2013,BO,gdiincj992,0.613737162460355
